105,Van,Fiat,Runround,6,151D987105,6.00,2020,12,15,100034,53.3456,-6.3421,140
106,Van,Ford,Transit,4,172LH234106,6.00,2021,03,30,106000,53.7654,-6.6235,160
107,Truck,Nisan,Urvan,4,181MN6538107,6.00,2021,05,24,126000,53.2543,-6.4444,240
108,Car,Opel,Corsa,7,191SL53601,10.00,2012,09,12,84000,61.4786,-7.2943,134
109,Truck,DAF,n/a,4,181D9152861,4.00,2011,03,14,126650,34.5678,-9.2345,170
110,FourByFour,Skoda,Fabia,3,112GL3478142,8.00,2013,06,23,123030,54.2243,-5.4344,145
111,FourByFour,Volkswagen,Passat,5,123LH124578,7.50,2009,03,12,134678,32.54556,-3.24565,180
112,Van,Peugeot,Partner,6,235GDN27456,9.50,2020,08,12,124035,24.5643,-3.4145,135
113,Car,Toyota,Auris,4,198TP224364,10.50,2021,04,13,124435,24.5663,-6.4345,155
114,Truck,Hino,n/a,7,142DN234244,5.20,2020,01,12,134434,45.1364,-7.4344,115
115,Car,Renault,Megane,10,132LH223444,6.23,2019,11,14,124334,42.1364,-8.4344,121
116,Van,Vauxhall,Vivaro,9,122CL2895743,6.21,2018,12,15,134248,43.1354,-5.2244,111
117,Truck,MAN,LE,6,134CR1278734,2.00,2016,07,17,129874,33.2334,-6.3244,101
118,Car,Nissan,Micra,7,114WD3245634,2.60,2021,12,01,139475,32.2344,-8.3554,102
119,FourByFour,Hyundai,Santa-FE,6,132CL4512649,3.00,2021,11,18,149774,23.2584,-9.3454,103
120,FourByFour,Kia,Sportage,7,162LH4515695,6.00,2020,05,12,148734,50.2384,-7.3462,130
